"№","URLs","Facebook shares","Facebook comments","Facebook comments plugin","Facebook reactions","Facebook total","Pins","Total"
"1","https://www.samsung.com/uk/","1774","122","0","819","2715","62","2777"
"2","https://www.apple.com/","679652","227946","2","1281482","2189082","57785","2246867"
